name,average_playtime
IACTURA,300
"Alpacapaca Dash",301
"Crimson Sword Saga: The Peloran Wars",301
Dungetris,301
"Fake Colours",301
"Frisky Business",301
idleBeer,301
"Neon Space 2",301
"Snail Bob 2: Tiny Troubles",301
"Sumo Revise",301
"The Sun Never Sets",301
"Thea: The Awakening",301
"A SECOND BEFORE US",302
"Across The Moment",302
"Call of Duty: Modern Warfare Remastered",302
"Chaos Town",302
Elems,302
"Evil Glitch",302
"Farming World",302
"Frederic: Evil Strikes Back",302
"Project First Contact",302
"The Jackbox Party Pack 3",302
"Hand of Fate 2",303
"MONOPOLY PLUS",303
"Pretty Girls Mahjong Solitaire",303
"Choice Chamber",304
Coffence,304
"Dynamite Alex",304
"Mission: Escape from Island",304
"Pain Train 2",304
"Timen runner",304
"F1 2015",305
"Gold Rush! 2",305
"Planes Bullets and Vodka",305
"Rock 'N' Roll Defense",305
"9 Clues: The Secret of Serpent Creek",306
Duet,306
"FatherÂ´s Island",306
"Moonbase 332",306
"Mystic Saga",306
"Song of the Deep",306
"Star Phoenix",306
"Teddy Floppy Ear - Mountain Adventure",306
"The Troma Project",306
"Victor Vran ARPG",306
"1953: NATO vs Warsaw Pact",307
Burgers,307
Chimpology,307
"fault - milestone two side:above",307
"Gnumz: Masters of Defense",307
Lepofrenia,307
"Save Home",307
"Spirits of Xanadu",307
"Angels of Fasaria: Version 2.0",308
BRAWL,308
"Confess My Love",308
Cubway,308
Endangered,308
"Escape: VR",308
"It Comes Around - A Kinetic Novel",308
"Late Shift",308
"Pathologic Classic HD",308
"Urizen Shadows of the Cold Deluxe Frosty Edition",308
"We Happy Few",308
"Call of Duty: WWII",309
"Cannons-Defenders: Steam Edition",309
"One Hundred Ways",309
"Pilam Sky",309
Putrefaction,309
"Real Boxingâ„¢",309
"Rogue'n Roll",309
"SINISTRY SILINIUM",309
"MIND: Path to Thalamus Enhanced Edition",310
"Pixel Puzzles: UndeadZ",310
"Tank Blast",310
Oik,311
"One Piece Pirate Warriors 3",311
"Sakura Spirit",311
Clockwise,312
EVERSPACEâ„¢,312
"Hunahpu: way of the Warrior",312
"Kimulator : Fight for your destiny",312
Majotori,312
"Sakura Nova",312
Chowdertwo,313
"Cyber City 2157: The Visual Novel",313
"House Party",313
"New York Mysteries: The Lantern of Souls",313
"Robot Shield",313
MechDefender,314
"Zpeciation: Tough Days (TD)",314
"Civil War: Battle of Petersburg",315
"Construction Simulator 2015",315
"Doug and Lily",315
"Countless Rooms of Death",316
"Dashy Square",316
Displaced,316
"Painted Memories",316
"Albert and Otto",317
Curvatron,317
"Fort Defense",317
"Idol Hands",317
"NEKOPARA Vol. 3",317
"Software Inc.",317
Submerged,317
"Deadly Animal Duel",318
"Momodora III",318
"Ninja Pizza Girl",318
"Soul of the Devil",318
"The Journey: Bob's Story",318
"Ares Omega",319
Bottle,319
Catorize,319
hackmud,319
Interloper,319
"The Maze : Endless nightmare",319
AXYOS,320
"Guilty Gear X2 #Reload",320
"Iron Sea Defenders",320
"METAL GEAR SOLID V: GROUND ZEROES",320
"Sixtieth Kilometer",320
Transformice,320
"Ghost Files: The Face of Guilt",321
Hyposphere,321
"Machine Made: Rebirth",321
MONMUSU,321
"Moon Colonization Project",321
"Space Pilgrim Episode I: Alpha Centauri",321
"Ball of Wonder",322
"Bloop Reloaded",322
Crea,322
"Oh No! Bugs!",322
"Ori and the Blind Forest: Definitive Edition",322
"Shoppe Keep",322
"Sunrider Academy",322
"16bit Trader",323
"Forgotton Anne",323
"Golf With Your Friends",323
"Grow Up",323
"Pixel Dungeon",323
DESYNC,324
"Epistory - Typing Chronicles",324
"Graze Counter",324
"High Octane Drift",324
"Magicians & Looters",324
"12 Labours of Hercules III: Girl Power",325
"Clandestinity of Elsie",325
"Life is Strange 2",325
Repulsanoid,325
"Reversion - The Meeting (2nd Chapter)",325
"Space Pilgrim Episode III: Delta Pavonis",325
TIS-100,325
"Tourists Kidnapped a Little Bear",325
Zotrix,325
"2064: Read Only Memories",326
Antihero,326
"Darksiders Warmastered Edition",326
"Detective Hayseed - Hollywood",326
"Magic Technology",326
"The Purring Quest",326
"Unknown Battle",326
"Hungry Flame",327
"iGrow Game",327
OneShot,327
"Pit People",327
"The Last Patient",327
"To The Capital",327
"Road Works",328
"Always The Same Blue Sky...",329
Snik,329
"Heaven Island - VR MMO",330
"Space Pilgrim Episode II: Epsilon Indi",330
"The Odyssey: Winds of Athena",330
Agony,331
"Biodrone Battle",331
Donuts'n'Justice,331
"Drawful 2",331
DungeonUp,331
"Quantum Break",331
"RPG Maker MV",331
"The Banner Saga 2",331
"AdventureQuest 3D",332
"Dream Dealer",332
"Green Cat",332
ICED,332
"PIXEL ZUMBI",332
"Richard & Alice",332
ROCKETSROCKETSROCKETS,332
"SHENZHEN I/O",332
"Way of Hero",332
Foresight,333
"Gryphon Knight Epic",333
Husk,333
"Master of Orion 1",333
"No Way Out",333
Oknytt,333
"Phoenix Force",333
"Starship Annihilator",333
"Game Corp DX",334
"Guardians of Victoria",334
"Neon Arena",334
"SanctuaryRPG: Black Edition",334
Gunnheim,335
"Hyperdimension Neptunia U: Action Unleashed",335
"Mirt. Tales of the Cold Land. Chapter one",335
"Solitaire Christmas. Match 2 Cards",335
"Space Pilgrim Episode IV: Sol",335
"Bastard Bonds",336
"How To Survive: Third Person Standalone",336
"Blood Feed",337
"Gnomes Garden",337
Ichi,337
"ROD: Revolt Of Defense",337
"Shan Gui (å±±æ¡‚)",337
"Tea Party Simulator 2015â„¢",337
Zzzz-Zzzz-Zzzz,337
Jamsouls,338
"Legion Tale",338
"Life is Hard",338
"Mindless Running",338
"The Adventures of Fluffy",338
"VERSUS SQUAD",338
"Zup! 4",338
"Dead Island Retro Revenge",339
"Lost Base Escape",339
"Dead Rising 4",340
Osteya,340
"SEUM: Speedrunners from Hell",340
"Bloodbath Kavkaz",341
"Cat Quest",341
"Crimson Earth 2",341
Domina,341
Dustwind,341
Formata,341
GALAK-Z,341
"Omega One",341
"World of Warships",341
"A Lenda do HerÃ³i - O HerÃ³i desta CanÃ§Ã£o",342
Battlepaths,342
Keebles,342
"Kingdom Rush Frontiers",342
"Lilly and Sasha: Guardian Angels",342
"MAZE LORD",342
Pillar,342
"The Admin",342
"Umbrella Corpsâ„¢/Biohazard Umbrella Corpsâ„¢",342
"Lethal League Blaze",343
"The Undying Plague",343
"Android John",344
Bacteria,344
Rakuen,344
RoBoRumble,344
"Tales of the Lumminai",344
Zoombinis,344
"Art of War: Red Tides",345
"Kindred Spirits on the Roof",345
"Royal Defense",345
"Emporea: Realms of War and Magic",346
Klabi,346
"Peace Death!",346
"Rento Fortune - Online Dice Board Game",346
"Shotgun Raiders",346
"Velocity 2X",346
"1 Moment Of Time: Silentville",347
"Airstrike HD",347
"Block N Load",347
"200% Mixed Juice!",348
"Crimzon Clover WORLD IGNITION",348
"Human: Fall Flat",348
"Invisible Mind",348
"Kung Fury: Street Rage",348
"Miner Mayhem",348
"The Vagrant",348
"Dragon Kingdom War",349
"Zombie Wars: Invasion",349
"There's Poop In My Soup",350
"Weapon Shop Fantasy",350
"Gems of the Aztecs",351
"Omensight: Definitive Edition",351
"VR Journey",351
"Ahnayro: The Dream World",352
"Battlefleet Gothic: Armada 2",352
"Blaster Shooter GunGuy!",352
"Eon Altar",352
"Malavision: The Origin",352
"Showing Tonight: Mindhunters Incident",352
Aberoth,354
"Game Tycoon 2",354
Minimalism,355
Apokalypsis,356
"Diadra Empty",356
"Acceleration of SUGURI 2",357
"Lost Moon",357
"The Turing Test",357
"Gold Rush! Anniversary",358
Shadowgate,358
"Cho Dengeki Stryker All Ages Version",359
Isbarah,359
"Tales of the Orient: The Rising Sun",359
"Tank Force",359
"Through Abandoned: The Underground City",359
"Super Mega Baseball: Extra Innings",360
"Seasons after Fall",361
"Pavlov VR",362
"Doodle God",363
"Executive Assault",363
"Khet 2.0",363
"Metro: Last Light Redux",363
"Bad Dream: Coma",364
DEADBOLT,364
"Love Ribbon",364
"Polygon Attack",364
"The Rainy Port Keelung é›¨æ¸¯åŸºéš†",364
"Caladrius Blaze",365
Cobalt,365
Plantera,365
"Potatoman Seeks the Troof",365
QuestRun,365
"Eastwood VR",366
Infinitum,366
"Multishop Tycoon Deluxe",366
Vapour,366
"BATTLE PIXELS",367
"fault - milestone one",367
"Heaven Forest - VR MMO",367
"Zotrix - Solar Division",367
"3 Coins At School",368
Block'hood,368
Cubicity,368
Negligee,368
"Neon Drive",368
Princess.Loot.Pixel.Again,368
"The Construct",368
"Among the Innocent: A Stricken Tale",369
"Stay Alight",369
"3 Stars of Destiny",370
"FATE: The Cursed King",370
"Crash Drive 2",371
"Sally Face",371
Orczz,372
"Paper Dungeons",372
"Pixel Puzzles: Japan",372
"Rhythm Rush!",372
"Demon Horde Master",373
"Mad Combat Marines",373
"Yet Another World",373
Deepworld,374
Inverted,374
"Knight Adventure",374
"Sine Mora EX",374
"Tanks vs Aliens",374
"Halloween Mysteries",375
"Mages of Mystralia",375
"Infestation: The New Z",376
Adorables,377
"Axiom Verge",377
"Royal Heroes",377
"Hand of the Gods",378
"Gloria Victis",379
Squarelands,379
Stargazer,379
"Construct: Escape the System",381
"EARTH'S DAWN",381
"Minion Masters",381
"THE KING OF FIGHTERS XIV STEAM EDITION",381
"Woodle Tree 2: Worlds",381
"Fishing: Barents Sea",382
"High On Racing",382
"Age of Gladiators",383
"Jet Racing Extreme: The First Encounter",383
"Legend (1994)",383
Prismata,384
"Pro Gamer Manager",384
Z.I.O.N.,384
#KILLALLZOMBIES,385
"Batman - The Telltale Series",385
eden*,385
"NEON STRUCT",385
"Dead End Junction",386
"Final Dusk",386
"Killing Room",386
"Wizard of Legend",386
Alchemyland,387
Detention,387
Dropzone,387
"Slide Ride Arcade",387
"Alone K.W.",388
"Faerie Solitaire Remastered",388
SquareCells,388
"SteamWorld Heist",388
"Super Duper Party Pooper",388
"Silver Knight",389
"Higurashi When They Cry Hou - Ch.2 Watanagashi",390
"Reptilians Must Die!",391
"Boson X",392
"Relaxation balls",392
ANKI,394
GORN,394
"Heart's Medicine - Time to Heal",394
"Sector 724",394
"Streets of Rogue",394
"! That Bastard Is Trying To Steal Our Gold !",396
Blackwake,396
"Defend The Highlands",396
"Edge of Hearts",396
"Office Space: Idle Profits",396
"Dungeon of Elements",397
"The Room Three",397
"Dark Project",399
"Minecraft: Story Mode - A Telltale Games Series",399
Runeyana,399
"Project Pulsation",400
"Zombie Army Trilogy",400
Belladonna,401
"Iron Commando - Koutetsu no Senshi",401
Parkitect,401
"The Ember Saga: A New Fire",401
"Hero of the Kingdom II",402
"Marvel's Guardians of the Galaxy: The Telltale Series",402
SUPERFIGHT,402
"Pirate Pop Plus",403
hack_me,404
"NEKO - NIN exHeart",404
"Space Colony: Steam Edition",404
"Tokyo School Life",404
"Tower 57",404
"Crisis in the Kremlin",406
Nova-111,406
"Corona Blossom Vol.2 The Truth From Beyond",407
"A Bastard's Tale",408
"Planetary Annihilation: TITANS",408
"Sakura Fantasy",408
"The Inevitability",408
"AKIBA'S TRIP: Undead ï¼† Undressed",409
"How to Survive 2",409
"Quantum Conscience",409
"Cube Land Arena",411
"The Way We All Go",411
"Fighter of Evil",412
"Life is Strange - Episode 1",412
"Royal Offense",412
"A Long Road Home",413
Andarilho,413
"Flix and Chill",413
"Destruction 48",414
"Cherry Tree High I! My! Girls!",415
"Jim Power -The Lost Dimension",416
"High Fidelity",417
"NARUTO TO BORUTO: SHINOBI STRIKER",417
"SUNLESS SEA",417
"Action Henk",418
"Dorke and Ymp",418
Monstrum,418
"Osiris: New Dawn",418
"Die Young",419
Overture,419
Sandstorm,420
Tallowmere,420
"Japanese School Life",422
Power-Up,422
"Super Army of Tentacles 3: The Search for Army of Tentacles 2",422
"The Surge",422
"Time Clickers",423
"Bonny's Adventure",424
CryptoMoneya,424
"Worms W.M.D",424
"Astrox: Hostile Space Excavation",427
"Knightmare Tower",427
"The Sunset",427
"Tiki Man",428
"Highschool Romance",429
Vengeance,429
"Western FPS",429
"Adventures of Bertram Fiddle: Episode 2: A Bleaker Predicklement",430
"Face It - A game to fight inner demons",430
"NEKOPARA Vol. 0",430
"Neon Space",430
"Devil May Cry 4 Special Edition",432
Don'Yoku,432
"Egg Returns Home",432
"Rise to Ruins",432
Conjuntalia,433
"Fight or Die 2",433
"Grey Goo",434
"Metro 2033 Redux",434
"Shantae and the Pirate's Curse",434
"Brain In My Head",435
Caveblazers,435
"Sword of Asumi",435
"Tasty Planet: Back for Seconds",435
"The Divine Paradox",436
"Cat or Bread?",437
"Shadowrun: Hong Kong - Extended Edition",438
"Zombitatos the end of the Pc master race",438
Unworthy,439
"Beach Bounce",441
"West of Loathing",441
"Intergalactic Bubbles",443
"LEGO Batmanâ„¢ 3: Beyond Gotham",443
"The Inner World - The Last Wind Monk",443
"Assault on Arnhem",444
"Fairy Fencer F Advent Dark Force",444
Disastr_Blastr,445
"Time in Time",445
Farabel,446
"Fields XY",446
"The Temporal Invasion",446
"Digimon Masters Online",447
"Blood Harvest",448
"The Elder Scrolls: Legendsâ„¢",448
"1775: Rebellion",449
"Girl Amazon Survival",449
Pinstripe,449
"Trine 3: The Artifacts of Power",449
"Alphadia Genesis",450
"Resident Evil Revelations 2 / Biohazard Revelations 2",452
"Danko and treasure map",453
"Forward to the Sky",453
"Lift It",453
"One Piece Burning Blood",453
Zero-K,453
"Crimson Earth",454
"Gurumin: A Monstrous Adventure",454
"Political Animals",454
"Hellblade: Senua's Sacrifice",455
ManaCollect,455
Tetropunk,455
"Ghost Encounters: Deadwood - Collector's Edition",456
Ylands,457
"The Great Gatsby: Secret Treasure",458
"MOBIUS FINAL FANTASYâ„¢",462
Hardnoid,464
"60 Parsecs!",465
"My Lovely Daughter",465
"Kingdoms and Castles",466
"Tachyon Project",466
"THE GAME OF LIFE",467
"Breathing Fear",469
Deceit,469
Tapocalypse,471
"Steel Ocean",472
"Five Nights at Freddy's",474
"Cemetery Warrior 3",476
"Higurashi When They Cry Hou - Ch.3 Tatarigoroshi",476
"Invention 2",476
"Ant War: Domination",477
"Immortal Redneck",477
"Swordbreaker The Game",477
"Amnesiaâ„¢: Memories",478
"FAST BEAT LOOP RACER GT ",478
"Life is Strange: Before the Storm",478
"Punch Club",478
SizeBlock,478
Songbringer,479
SparkDimension,479
"A Trip to Yugoslavia: Director's Cut",480
"Millennium 2 - Take Me Higher",482
"Slash It",482
"All Is Dust",484
Modbox,484
"Tricolour Lovestory",486
Wayward,487
"DiRT Rally",488
Deadnaut,489
"Valnir Rok Survival RPG",489
"Strange Brigade",490
Vanquish,490
"Russian Car Driver",491
"Bullet Sorrow VR",493
"Crossfire: Dungeons",494
"Empyrion - Galactic Survival",495
"Warhammer 40000: Eternal Crusade",495
"The Hex",496
"FaeVerse Alchemy",497
"Halo Wars: Definitive Edition",497
"BLOCKADE 3D",499
"Call Of The Mighty Warriors",499
"Brave Dungeon",500
"METAL SLUG",501
"Rogue Trooper Redux",501
"15 Defense",502
"LEGO Jurassic World",502
"Rigor Mortis",502
DESOLATE,503
"Gems of War - Puzzle RPG",503
"Hexagon Defense",505
"Shadowrun: Dragonfall - Director's Cut",505
"Avalanche 2: Super Avalanche",508
"Fran Bow",508
GRAV,509
"Sakura Beach",510
"The Marvellous Miss Take",510
"This War of Mine",512
"Empire of the Gods",513
"Fatal Twelve",513
MINDNIGHT,513
Trucker,513
"Ace of Protectors",515
"Disposable Heroes",515
"Samorost 3",515
Figment,516
"Executive Assault 2",517
"Minecraft: Story Mode - Season Two",517
"Teddy Floppy Ear - The Race",517
"King's Bounty: Dark Side",518
"Party Hard",518
"Ancestors Legacy",519
"WORLD OF FINAL FANTASY",519
"House Flipper",520
"Bulletstorm: Full Clip Edition",521
"True Lover's Knot",521
"Sniper Elite 4",522
"TrackmaniaÂ² Lagoon",522
"Idol Magical Girl Chiru Chiru Michiru Part 2",523
"Notruf 112 | Emergency Call 112",523
"Aurion: Legacy of the Kori-Odan",524
"Tales from the Borderlands",524
Mortos,525
"Bloons TD Battles",526
"NEKOPARA Vol. 1",526
"Stranger of Sword City",527
"Emily is Away Too",530
"Ittle Dew 2",530
"LOR - League of Runners",532
"METAL SLUG X",533
Furi,535
"Highway Blossoms",537
SimplePlanes,538
"Queen of Seas",540
"Age of Castles: Warlords",542
"Guild of Dungeoneering",542
"The Swords of Ditto",542
"Battlestar Galactica Deadlock",544
Exanima,547
Florensia,550
"Ghost of a Tale",551
Schein,551
Staxel,552
"Knights of Pen and Paper 2",553
"Paint the Town Red",554
"Dead Age",555
"Lovely Planet Arcade",556
"Mushroom Wars",556
"Survive in Space",557
"Dungeons 3",559
"Spirit of Maya",559
Skyforge,561
"Curious Expedition",562
"Assassin's Creed Syndicate",564
"Mafia III",564
"Catmouth Island",565
"Has-Been Heroes",567
"Hot Dogs Horseshoes & Hand Grenades",568
"UNDER NIGHT IN-BIRTH Exe:Late",568
"Tricky Towers",570
"A Clockwork Ley-Line: The Borderline of Dusk",571
AuroraRL,571
Trigonarium,572
"Alpha Runner",574
"Sword With Sauce",577
"Christmas Adventure: Candy Storm",578
"Flowers -Le volume sur printemps-",580
"Crusaders of the Lost Idols",581
"Celestial Crossing",583
"Zombie Defense",583
"Business Tour - Board Game with Online Multiplayer",584
"Moto Racer  4",586
"NEKOPARA Vol. 2",586
"Notch - The Innocent LunA: Eclipsed SinnerS",586
Qvadriga,586
"Sakura Beach 2",586
InfiniPicross,591
NightmareZ,591
"Worlds Adrift",592
Wuppo,592
"It's A Wipe!",593
"Cossacks 3",596
"FINAL FANTASY X/X-2 HD Remaster",596
Northgard,601
"Defend Your Life: TD",603
"Dungeon Warfare",604
GemBreak,604
"Resident Evil / biohazard HD REMASTER",604
"Sword Art Online: Hollow Realization Deluxe Edition",605
"Holy Potatoes! A Weapon Shop?!",606
"SnakEscape [REMASTERED]",606
"Duck Game",607
"CarX Drift Racing Online",608
"A Detective's Novel",611
"Adventurer Manager",613
"Hyperdimension Neptunia Re;Birth1",613
"Mother Russia Bleeds",613
Mountain,614
"Midas Gold Plus",617
"Rebel Galaxy",618
Miscreated,619
"Sakura Swim Club",621
"Hatoful Boyfriend",622
Miniballist,622
"Ultimate Chicken Horse",622
"Salt and Sanctuary",623
"Control Craft 2",625
SimpleRockets,636
"Sleeping Dogs: Definitive Edition",636
Fireflies,637
"Full Metal Furies",637
Celeste,638
"BATTALION 1944",639
"The Clans - Saga of the Twins",639
Besiege,644
"Runestone Keeper",644
"Amazing Frog?",646
"Big Pharma",647
"Sakura Santa",647
"Twin Saga",647
"Machina of the Planet Tree -Planet Ruler-",650
"The Race for the White House 2016",650
Battleborn,652
"Novus Inceptio",654
"Card Hunter",655
"Megadimension Neptunia VII",656
"Vertical Drop Heroes HD",656
Pongo,658
"Idol Magical Girl Chiru Chiru Michiru Part 1",662
Echelon,664
"Space Run Galaxy",666
SQRðŸ”²,669
"Mr. Triangle's Adventure",670
"The Confines Of The Crown",670
"The Reject Demon: Toko Chapter 0 - Prelude",670
"Disgaea PC ",672
"BARRIER X",673
"The Escapists 2",674
"State of Decay: YOSE",676
"Ultimate Epic Battle Simulator",677
Epsilon,679
Undertale,679
"Car Mechanic Simulator 2015",680
"Gang Beasts",681
Hylics,683
"Grand Ages: Medieval",684
Deathsmiles,688
"Sakura Angels",688
"365 Days",696
MHRD,698
"Warhammer 40000: Dawn of War III",704
"Life in Bunker",705
"Fable Anniversary",708
"FINAL FANTASY XIII-2",713
"Black Mesa",715
"Dirty Bomb",715
"Root Double -Before Crime * After Days- Xtend Edition",719
"Space Tyrant",722
"LEGO Worlds",723
Brawlhalla,724
"Car Mechanic Simulator 2018",724
Steepâ„¢,724
"Blue Rose",726
"Tabletop Simulator",729
Prey,738
"Titan Quest Anniversary Edition",739
Major\Minor,744
"Sound of Drop - fall into poison -",744
"VA-11 Hall-A: Cyberpunk Bartender Action",746
"Neon Prism",748
DOOM,751
"Soda Dungeon",751
"Quake Champions",754
"SCHAR: Blue Shield Alliance",755
Ziggurat,756
"Fly Simulator",757
"The Long Dark",760
"Star Traders: Frontiers",761
"Strikey Sisters",762
"Beyond Eyes",763
"Twilight Struggle",765
"NARUTO SHIPPUDEN: Ultimate Ninja STORM 4",767
"WORLD END ECONOMiCA episode.02",768
Bootombaa,771
"SYNTHETIK: Legion Rising",772
"Dungeon Escape",773
"Road Scars: Origins",776
"Fly and Destroy",777
"The Banner Saga 3",777
"Thimbleweed Parkâ„¢",778
"Pixel Puzzles 2: RADical ROACH",779
"If My Heart Had Wings",784
"Riddled Corpses",784
"Slash It 2",792
"Street Fighter V",793
"Moon Hunters",794
Vampyr,794
Absolver,796
"Deus Ex: Mankind Divided",798
"Sky Rogue",799
"Rain World",803
"BlazBlue: Chronophantasma Extend",805
"Memory Oblivion Box",805
"MechWarrior Onlineâ„¢ Solaris 7",812
"Little Jack's Adventures",814
"Golf It!",815
"Way of the Samurai 3",815
"Rise of the Tomb Raiderâ„¢",817
"Danganronpa Another Episode: Ultra Despair Girls",818
Moonlighter,819
"RESIDENT EVIL 7 biohazard / BIOHAZARD 7 resident evil",823
Raft,826
"The Escapists",826
"Rusted Warfare - RTS",834
"Graveyard Keeper",837
"Domestic Dog",840
"Transport Fever",849
"FINAL FANTASY XV WINDOWS EDITION",851
"Ice Lakes",853
"Rise of Industry",853
"Fearless Fantasy",854
"Battlefleet Gothic: Armada",856
"Quern - Undying Thoughts",856
"Raiden III Digital Edition",860
"Creeper World 3: Arc Eternal",862
"Memory's Dogma CODE:01",862
"Agents of Mayhem",863
"Dungeon Rushers: Crawler RPG",863
"Empires of the Undergrowth",863
Crossout,864
"Yu-Gi-Oh! Duel Links",864
"Out of Reach",868
"Ballistic Overkill",869
"ADOM (Ancient Domains Of Mystery)",871
"DiRT 4",873
"X4: Foundations",873
"Monster Slayers",875
"Legion TD 2",878
"Angels with Scaly Wings",880
"Lost Castle",881
LISA,882
"Dishonored: Death of the Outsiderâ„¢",891
Overfall,891
"Valkyria Chroniclesâ„¢",892
"Earn to Die 2",912
"Q.U.B.E. 2",913
"EARTH DEFENSE FORCE 4.1 The Shadow of New Despair",915
"Devil May Cry 5",916
"Wolfenstein II: The New Colossus",921
"The Masterplan",926
Foxhole,928
"South Parkâ„¢: The Fractured But Wholeâ„¢",932
"S.K.I.L.L. - Special Force 2 (Shooter)",934
Unexplored,935
"GOD EATER 2 Rage Burst",942
"Planet Centauri",947
"Far Cry Primal",949
Warface,949
"FOR HONORâ„¢",951
"METAL SLUG 2",954
"Age of Civilizations II",957
"Citadel: Forged with Fire",962
"Nation War:Chronicles",962
"Massive Cleavage vs Zombies: Awesome Edition",964
Crystalline,982
"Hunt Showdown",991
"Microsoft Flight Simulator X: Steam Edition",991
"Darksiders II Deathinitive Edition",992
"Shadow Warrior 2",993
"IL-2 Sturmovik: Battle of Stalingrad",997
"Pro Cycling Manager 2017",999
