name,price,sum(positive_ratings)
"Tango Fiesta",6.99,4370
"Fritz Chess 14",29.99,4320
"Mordheim: City of the Damned",29.99,3596
Dwelvers,11.39,2235
"FATE: Undiscovered Realms",5.59,2875
"Return to Mysterious Island",5.59,2368
"Return to Mysterious Island 2",5.59,3080
VIDEOBALL,6.99,2650
"Halo: Spartan Assault",1.99,2797
"Imperial Glory",3.99,1800
Praetorians,3.99,1011
"The Book of Legends",10.99,3097
"Battle Group 2",5.59,704
"Farming World",3.99,2425
"Shiny The Firefly",6.99,4134
"Albedo: Eyes from Outer Space",10.99,2751
"Tales From The Dragon Mountain: The Strix",2.9,4944
"Assassin's Creed Freedom Cry",12.49,853
"Panzer Tactics HD",6.99,2790
"Kult: Heretic Kingdoms",3.99,3800
"About Love Hate and the other ones",4.99,553
"On Rusty Trails",9.99,3614
Sportsfriends,10.99,5480
"Diehard Dungeon",3.99,981
"Shantae: Risky's Revenge - Director's Cut",6.99,1698
"Mars Colony:Challenger",3.99,3996
"DYNASTY WARRIORS 8: Xtreme Legends Complete Edition",39.99,4596
"RIVE: Wreck Hack Die Retry!",10.99,1194
"A Story About My Uncle",9.99,17924
"Spider: Rite of the Shrouded Moon",6.99,2990
0RBITALIS,6.99,2483
Skyborn,10.99,1331
"Aveyond 3-2: Gates of Night",6.99,3575
"JUDGEMENT SILVERSWORD - Resurrection -",3.99,5125
"3 Stars of Destiny",10.99,3080
"A-Train 9 V4.0 : Japan Rail Simulator",44.99,3760
"Labyrinthine Dreams",1.59,1582
"Heroes of Legionwood",4.99,4997
TinyKeep,7.19,2860
"Terrian Saga: KR-17",3.99,2366
"LA Cops",10.99,4131
"Spaceforce Homeworld",3.99,2244
Angvik,2.9,1439
"GIGANTIC ARMY",4.79,2772
"Digger Online",6.99,8700
"9th Dawn II",1.49,3069
"Making History: The Great War",22.99,2331
"Ultionus: A Tale of Petty Revenge",4.99,3340
"Richard & Alice",4.79,1848
"Gardens Inc. â€“ From Rakes to Riches",6.99,3504
"Joe Dever's Lone Wolf HD Remastered",10.99,1176
"IHF Handball Challenge 14",6.99,5184
"Nicolas Eymerich - The Inquisitor - Book 1 : The Plague",3.99,4128
"Pretentious Game",1.59,1540
"Dracula 4 and  5 - Special Steam Edition",5.59,4896
"Devil's Dare",9.99,3700
"The Troma Project",4.99,2331
"The I of the Dragon",4.99,1372
"3D ParticleGen Visual FX",6.99,5202
"Grim Legends 2: Song of the Dark Swan",6.99,2283
"Soul Axiom",14.99,2304
"Infinity Runner",4.99,3900
"The Book of Unwritten Tales 2",24.99,2248
"Bridge Constructor Playground",6.99,2242
Gunjitsu,2.79,2172
"A Wizard's Lizard",6.99,2280
Aragami,14.99,3815
Hover,14.99,1144
Eterium,3.99,3959
"Creeper World 3: Arc Eternal",11.39,2347
"Adventurer Manager",3.99,1605
"Uprising44: The Silent Shadows",1.59,4816
Pulstar,1.59,3534
KRUNCH,6.99,5376
Crea,10.99,3168
"GhostControl Inc.",10.99,3348
"Danmaku Unlimited 2",3.99,2920
"BloodLust Shadowhunter",9.99,666
Krita,6.99,2261
"Imagine Earth",15.49,3136
Creativerse,0,19114
"Foosball - Street Edition",3.99,2159
"Battlepillars Gold Edition",3.99,2772
"Reversion - The Meeting (2nd Chapter)",3.99,2400
"A Boy and His Blob",6.99,1012
"BloodRayne Betrayal",6.99,1377
"Adventure Chronicles: The Search For Lost Treasure",3.99,4116
"Desert Gunner",1.99,4669
"Real Horror Stories Ultimate Edition",1.59,1018
Clans,1.99,3744
"Disciples Sacred Lands Gold",5.59,2996
"Wings Over Europe",6.99,3652
"Homeworld: Deserts of Kharak",29.99,2734
"The Banner Saga 2",18.74,1670
Munin,3.99,2270
Explodemon,6.99,4050
RefleX,5.59,2385
"Splatter - Zombie Apocalypse",0.79,1858
"Woolfe - The Red Hood Diaries",6.99,4416
Stellaris,34.99,35327
"Carmageddon 2: Carpocalypse Now",5.99,1528
"MX vs. ATV Supercross Encore",24.99,1410
"This War of Mine",14.99,47258
"Fearless Fantasy",4.99,3104
SOMA,22.99,16463
"Sid Meier's Starships",10.99,881
"SuperPower 2 Steam Edition",8.99,1296
"Quake Liveâ„¢",6.99,10227
"Castlevania: Lords of Shadow - Mirror of Fate HD",9.99,836
"RollerCoaster Tycoon Worldâ„¢",10.99,2364
"Star Ruler 2",19.49,994
"Easyâ„¢ eSports",0,3992
"Warring States",14.49,3408
Circuits,3.99,1801
"100% Orange Juice",4.99,10605
"FaeVerse Alchemy",0,2925
"Hyperdimension Neptunia Re;Birth1",19.49,9138
"Strategic War in Europe",10.99,3240
"The Campaign Series: Fall Weiss",10.99,4738
"Lucent Heart",0,2040
"Super Chibi Knight",3.99,1816
"Colonies Online",10.99,3000
"House of the Dying Sun",14.99,1998
"The Samaritan Paradox",4.99,2472
"Spoiler Alert",1.99,4215
"Nosferatu: The Wrath of Malachi",2.09,1880
"Desert Thunder",2.09,3120
"Eurofighter Typhoon",2.09,4554
"Marine Sharpshooter II: Jungle Warfare",2.09,2052
"Incoming Forces",2.09,4650
"CT Special Forces: Fire for Effect",2.09,3434
"Litil Divil",2.09,2211
Zooloretto,2.09,5239
"The Secret Of Hildegards",2.09,4608
"World of Subways 3 â€“ London Underground Circle Line",13.5,2563
"Salt and Sanctuary",13.59,7173
"Rabbit Hole 3D: Steam Edition",2.09,1990
"Astebreed: Definitive Edition",15.49,1104
"ALLTYNEX Second",5.59,2975
"Heroine's Quest: The Herald of Ragnarok",0,3500
"Putt-Putt Joins the Parade",4.99,1647
"Freddi Fish and the Case of the Missing Kelp Seeds",4.99,2880
"Pajama Sam: No Need to Hide When It's Dark Outside",4.99,2900
"Spy Fox in "Dry Cereal"""",4.99,3612
Sanitarium,6.99,2552
"Unclaimed World",13.99,3696
BeamNG.drive,18.99,15168
"Diadra Empty",4.79,3920
Maize,14.99,2092
PANORAMICAL,6.99,2448
"The Last Door - Collector's Edition",6.99,1284
DeadCore,7.99,1465
"Abyss: The Wraiths of Eden",6.99,1810
"Dark Arcana: The Carnival",6.99,826
"Enigmatis: The Ghosts of Maple Creek",6.99,690
"Enigmatis 2: The Mists of Ravenwood",6.99,2616
"Nightmares from the Deep 2: The Siren`s Call",6.99,1683
"Nightmares from the Deep 3: Davy Jones",6.99,3066
"Clockwork Tales: Of Glass and Ink",6.99,1470
"Grim Legends: The Forsaken Bride",6.99,1756
"9 Clues: The Secret of Serpent Creek",6.99,1774
"Left in the Dark: No One on Board",6.99,1492
"Purgatory: War of the Damned",9.99,4374
"Speed Kills",6.99,2068
"Pixel Puzzles: Japan",4.99,1870
Solarix,14.99,1984
GearCity,15.99,1542
"Battleplan: American Civil War",6.99,3224
"Warhammer 40000: Dawn of War III",29.99,6793
"RollerCoaster Tycoon: Deluxe",4.79,6098
"RollerCoaster Tycoon 2: Triple Thrill Pack",6.99,4172
"Kingdom Elemental",2.79,4776
"On The Road",16.3,2821
"Crimzon Clover WORLD IGNITION",6.99,3159
"The Entente Gold",1.59,2343
"Hard Truck Apocalypse / Ex Machina",5.59,1992
"Sledgehammer / Gear Grinder",5.59,2928
"Galactic Command Echo Squad SE",6.99,1448
"Kitty Powers' Matchmaker",6.99,588
Braveland,3.99,1517
"Action Henk",10.99,1112
"Enemy Mind",6.99,641
"Gang Beasts",14.99,13439
TerraTech,19.99,4769
"Tooth and Tail",14.99,1989
"Dead Effect",3.99,2177
"You Have to Win the Game",0,5005
QuestRun,2.09,1257
Eidolon,11,2484
"Tabletop Simulator",14.99,13243
ReignMaker,10.99,3154
"Dog Sled Saga",5.79,1192
"fault - milestone one",10.99,2436
"Steel Armor: Blaze of War",22.99,2184
"Algo Bot",7.19,3927
Oknytt,3.99,786
FarSky,3.99,2571
"Shadows on the Vatican Act I: Greed",4.99,1920
Strata,5.79,2511
"Rover Rescue",3.99,4752
"Black Mirror II",6.99,3500
"Black Mirror III",6.99,2079
"Nearwood - Collector's Edition",6.99,1498
"F1 2015",29.99,3834
"Avoid - Sensory Overload",3.99,2156
"Metro 2033 Redux",14.99,28179
Gunship!,4.99,4680
"Zoo Empire",4.99,4522
"Shadow Ops: Red Mercury",4.99,3588
"Falcon A.T.",4.99,3720
"Hard Truck Apocalypse: Rise Of Clans / Ex Machina: Meridian 113",4.79,1416
"Disney Planes",15.49,4872
"S.K.I.L.L. - Special Force 2 (Shooter)",0,7344
Harvester,4.79,4568
"Battle Academy",10.99,1806
"Chaos Domain",6.99,1944
"Ionball 2: Ionstorm",2.99,1756
"Wildlife Park 3",6.99,2112
"Toybox Turbos",11.99,889
"Resident Evil Revelations 2 / Biohazard Revelations 2",4.99,9049
"Metro: Last Light Redux",14.99,23483
"Rise of Nations: Extended Edition",14.99,5125
"Pandora: First Contact",22.99,3310
"The Council",25.99,2392
"METAL GEAR SOLID V: THE PHANTOM PAIN",24.99,38643
"Nostradamus: The Last Prophecy",3.99,3864
"The Witch's Yarn",6.99,3198
"TY the Tasmanian Tiger 4",4.79,1860
"Pro Pinball Ultra",9.99,3042
"Mortal Online",0,1362
Yomi,10.99,2728
"Mini Metro",6.99,7464
"Oncoming Death Steam Edition",3.99,3472
"Rex Rocket",3.99,1690
"Actual Sunlight",3.99,728
"Whispering Willows",6.99,1564
MechRunner,5.19,4983
Dungeonmans,10.99,2600
"Jack Nicklaus Perfect Golf",26.99,4100
"The Room",3.99,10206
"Backstage Pass",23.79,3077
"Conflicks - Revolutionary Space Battles",4.99,2280
"Fable Anniversary",26.99,8072
"Black Rainbow",4.99,5060
"Hotel Collectors Edition",4.99,4438
"Haunted Past: Realm of Ghosts",3.99,2449
"Pineview Drive",14.99,1686
"The Charnel House Trilogy",4.79,1524
"Sid Meierâ€™s Civilization VI",49.99,39127
Ampu-Tea,3.99,2570
"Endless Legendâ„¢",22.99,10015
"A.I.M.2 Clan Wars",1.99,1971
"Ascension to the Throne",1.99,3075
"Perimeter: Emperor's Testament",2.79,4460
"El Matador",2.79,3360
"Faces of War",3.99,1455
"Fairy Tale About Father Frost Ivan and Nastya",1.99,4576
"Konung 2",1.99,3234
"Parkan 2",2.79,2567
"Planet Alcatraz",2.79,2760
Perimeter,2.79,3045
"RC Cars",1.99,2774
"The Tomorrow War",1.99,4270
"King's Bounty: Dark Side",9.99,1256
"Aggression: Europe Under Fire",6.99,4592
Collapse,14.99,3420
"Assassin's Creed Unity",25.99,12350
"LARA CROFT AND THE TEMPLE OF OSIRISâ„¢",14.99,696
ROCKETSROCKETSROCKETS,4.99,1293
"762 High Calibre",3.99,2398
"TransOcean: The Shipping Company",17.99,584
"Construction Simulator 2015",10.99,2519
DubWars,6.99,4488
LogicBots,14.99,2398
"Life is Feudal: Your Own",15.49,6167
Sokobond,6.99,2023
Volt,0.79,2436
"Rebel Galaxy",14.99,5100
"Project Temporality",10.99,2555
Armello,14.99,7208
Micron,2.09,1833
"Legionwood 2: Rise of the Eternal's Realm - Director's Cut",4.79,4509
Clandestine,14.99,1764
"My Lands: Black Gem Hunting",0,2770
"The Fall",6.99,2784
"Grey Goo",22.99,2342
"You Must Build A Boat",3.99,1226
Slip,0.79,1440
"Akane the Kunoichi",2.09,652
"Motte Island",3.99,3876
Duelyst,0,3469
Warface,0,32751
Brawlhalla,0,73268
"Mirror Mysteries",3.99,2624
"Pillars of Eternity",22.99,11558
"Empathy: Path of Whispers",14.99,3591
"The Lost Crown",6.99,1800
"Pit People",15.49,5027
"Firefighters 2014",17.99,1960
"Industry Empire",8.99,3710
"The Witcher 3: Wild Hunt",24.99,202930
"Titanfall - The Final Hours",1.59,2538
"FINAL FANTASY XIII",10.99,7016
"FINAL FANTASY XIII-2",12.99,1843
"Crazy Plant Shop",3.99,1780
"Game Character Hub",10.99,2548
"Spy Fox 3 "Operation Ozone"""",4.99,3132
"Spy Fox In: Cheese Chase",3.99,5040
"Racer 8",3.99,608
"Realms of the Haunting",2.09,1435
Unrest,7.19,2530
"Street Racing Syndicate",2.09,3772
"Kero Blaster",6.99,1629
"Chompy Chomp Chomp",1.69,1795
Duet,3.99,1830
"Uriel's Chasm",3.99,2350
"Princess Isabella",3.99,3015
"Call of Duty: Infinite Warfare",39.99,7821
"Pajama Sam 2: Thunder And Lightning Aren't So Frightening",4.99,2541
"Pajama Sam's Sock Works",3.99,4290
"Deponia: The Complete Journey",25.99,2552
"Black Mirror I",6.99,936
"Overcast - Walden and the Werewolf",0.79,1570
"H-Hour: World's Elite",10.29,2490
Cosmochoria,6.99,2005
"Card Hunter",0,3146
"The Good Life",6.99,2772
"Epic Space",23.79,4900
"Elliot Quest",7.19,3051
"Carnivores: Dinosaur Hunter Reborn",10.99,2160
"Guns and Robots",0,1129
"TRI: Of Friendship and Madness",12.99,690
"Automation - The Car Company Tycoon Game",22.99,1529
Crawl,10.99,3757
"Kill The Bad Guy",6.99,2100
"Knight Squad",10.99,2761
"Merchants of Kaidan",10.99,1485
"Loot Hero DX",2.09,980
"Aaru's Awakening",10.99,3784
RimWorld,27.79,38556
"They Breathe",1.59,856
"Galcon 2: Galactic Conquest",0,656
Millie,2.79,1002
"Scooby Doo! & Looney Tunes Cartoon Universe: Adventure",14.99,5054
Crowntakers,6.99,2226
Shadowgate,10.99,1407
"Putt-Putt Saves The Zoo",4.99,1998
"Putt-Putt Travels Through Time",4.99,2508
"BlazBlue: Continuum Shift Extend",14.99,1996
RECYCLE,8.99,2492
"Valkyria Chroniclesâ„¢",14.99,8862
"Royal Quest",0,2499
"Hero Generations",4.79,2052
"Hive Jump",14.99,1075
"PARTICLE MACE",7.19,1178
"Darkwind: War on Wheels",0,1870
"Sweezy Gunner",2.79,3128
"The Floor is Jelly",6.99,1505
"Rogue Shooter: The FPS Roguelike",3.99,2313
"Never Alone (Kisima Ingitchuna)",11.99,5175
"The Dungeoning",2.89,4108
Battlepaths,1.99,535
"MIND: Path to Thalamus Enhanced Edition",9.29,2517
"Farm Frenzy 4",4.99,1596
"The Promised Land",4.99,898
"Ballistic Overkill",8.99,4645
"Mount Your Friends",10.99,6341
"GemCraft - Chasing Shadows",6.99,2179
"Lords of Xulima",14.99,770
Monstrum,11.99,2902
Viktor,5.59,2829
"Real Boxingâ„¢",3.99,2636
"Lucius II",14.99,1586
"Dreaming Sarah",4.79,1686
8BitBoyâ„¢,9.29,1342
"Renowned Explorers: International Society",14.99,2013
"Heroes of Might & Magic III - HD Edition",12.49,4673
"The Culling Of The Cows",7.19,2400
"Freaking Meatbags",7.99,1764
"Cosmic DJ",1.99,3680
"Heavy Bullets",6.99,951
"Titan Souls",10.99,3556
Famaze,0,1108
"Pro Wrestling X",6.99,2940
"The Old City: Leviathan",4.79,1804
"Xsyon - Prelude",22.99,1484
"Spy Chameleon - RGB Agent",3.99,2684
"Monsters Ate My Birthday Cake",5.59,3328
Split/Second,15.49,1434
"Total Annihilation",3.99,1274
"Master of Orion",22.99,2961
"Far Cry 4",25.99,17082
Eldevin,0,3270
"The Desolate Hope",0,3760
"Terraformer Expedition to Mars",18.99,5115
"Red Crucible: Firestorm",0,4795
"Only If",0,3752
"Immortal Defense",6.99,3480
"Victory At Sea",17.49,2853
"Orbital Gear",5.99,1488
"Lovely Planet",4.79,2092
Ylands,13,5700
"The Escapists",12.99,11629
"Darkness Within 1: In Pursuit of Loath Nolder",5.59,2200
"Blood: One Unit Whole Blood",3.99,2050
"Cosplay Maker",7.19,5239
"Theatre Of The Absurd",3.99,2145
"Millionaire Manor",3.99,4953
"European Ship Simulator",14.99,1768
"Commando Jack",5.79,1315
"Block N Load",0,10856
CubeGun,0,1930
"Woodle Tree Adventures",1.99,3824
"Rogue Stormers",14.99,2392
"International Snooker",9.99,2430
"Heroes Rise: The Prodigy",2.89,2448
"Dragon Fin Soup",14.99,3792
"6180 the moon",2.79,2418
Tengami,3.99,3072
"Terrorhedron Tower Defense",0.79,937
Miscreated,19.49,17255
"GET EVEN",24.99,2420
"Divine Souls F2P MMO",0,2646
ADR1FT,14.99,1558
"Total War Battles: KINGDOM",0,1692
"Victim of Xen",2.99,1590
Ichi,3.99,3102
"Road Redemption",14.99,4788
"Shadowrun: Dragonfall - Director's Cut",10.99,3488
Infinifactory,18.99,1511
JUJU,14.99,2898
"Eastside Hockey Manager",14.99,1446
"Frederic: Resurrection of Music",1.99,2145
"Frederic: Evil Strikes Back",5.59,1184
"Chicken Invaders 4",3.99,2169
"NoLimits 2 Roller Coaster Simulation",27.99,402
Robocraft,0,80360
"openCanvas 6",29.99,1596
"Zombie Army Trilogy",29.99,8472
"Battlezone 98 Redux",14.99,515
"Cobi Treasure Deluxe",1.99,3306
"RADical ROACH Remastered",2.09,2164
"City of Brass",15.49,3204
Submerged,14.99,2223
"Saints Row: Gat out of Hell",10.99,5203
Screencheat,11.39,3471
"Bus Driver",5.59,923
"Chernobyl Commando",6.99,2185
Manhunter,3.99,1603
"Floating Point",0,3262
"Ballad of Solar",4.99,2684
"Ryse: Son of Rome",11.99,14966
"Of Guards And Thieves",0,2432
"Boson X",1.99,1288
"Call to Arms",0,5787
"Metal Dead",3.99,2226
BlazeRush,6.99,925
"BLOCKADE 3D",0,15821
"The Beginner's Guide",6.99,12791
OZMAFIA!!,26.99,2065
"Dead Bits",0.79,4845
Roundabout,6.99,1275
"Adventures of Pip",10.99,3520
"Hidden in Plain Sight",4.79,1200
"FATE: The Traitor Soul",5.59,3216
"Faery - Legends of Avalon",6.99,2214
"The Witcher Adventure Game",6.99,1276
CAPSULE,3.99,2625
ArcheAge,0,3195
Trove,0,47897
"Resident Evil / biohazard HD REMASTER",15.99,6313
"Wildlife Park 2",4.99,2470
"FOR HONORâ„¢",12.49,34790
"Hexcells Infinite",3.99,3894
INSIDE,14.99,19660
"Agents of Mayhem",26.99,1808
"SUNLESS SEA",13.99,5331
Unturned,0,292574
"Castaway Paradise - Town Building Sim",9.99,1212
"Battle Islands",0,2565
"Blue Estate The Game",9.99,1068
"The Long Dark",23.79,45856
"Shattered Planet",11.39,2848
"Project AURA",11.99,1158
"Dragon: The Game",13.59,2177
"Bloons TD 5",6.99,3808
"The Howler",0,1604
"The Elder Scrolls Online",14.99,33719
"Crystals of Time",0.79,1208
"Ultimate General: Gettysburg",10.99,1896
Obduction,23.99,1807
"Shan Gui (å±±æ¡‚)",0.79,1635
"Fancy Skulls",5.99,3120
"We Need To Go Deeper",6.99,2804
